Age Group,Treatment,Area,Mean,IntDen,RawIntDen
2moM,E + N treatment,33.7,1052.89,35477,3074427
2moM,E + N treatment,31.87,1001.74,31927,2766801
2moM,E + N treatment,21.84,948.48,20719,1795470
2moM,E + N treatment,68.86,1176.37,81000,7019384
2moM,E + N treatment,32.11,1078.15,34624,3000488
2moM,E + N treatment,105.92,1189.89,126034,10921965
2moM,E + N treatment,66.54,952.18,63354,5490240
2moM,E + N treatment,38.17,1117.23,42647,3695795
2moM,E + N treatment,42.62,1314.5,56018,4854440
2moM,E + N treatment,32.43,996.18,32302,2799277
2moM,E + N treatment,45.19,1210.92,54720,4741970
2moM,E + N treatment,23.34,1468.29,34276,2970351
2moM,E + N treatment,27.05,1015.83,27477,2381095
2moM,E + N treatment,73.31,1158.25,84911,7358341
2moM,E + N treatment,30.53,1126.63,34400,2981066
2moM,E + N treatment,24.69,1111.27,27442,2378126
2moM,E + N treatment,26.13,1016.7,26562,2301798
2moM,E + N treatment,77.75,1238.14,96269,8342595
2moM,E + N treatment,44.57,1059.9,47235,4093331
2moM,E + N treatment,26.38,1083.31,28577,2476448
2moM,E + N treatment,31.98,1250.07,39972,3463955
2moM,E + N treatment,26.26,1460.41,38356,3323894
2moM,E + N treatment,33,1113.38,36745,3184261
2moM,E + N treatment,26.37,965.04,25446,2205111
2moM,E + N treatment,71.7,1080.51,77467,6713220
2moM,E + N treatment,33.41,1139.35,38062,3298418
2moM,E + N treatment,105.54,1191.62,125763,10898538
2moM,E + N treatment,28.91,1235.88,35725,3095880
2moM,E + N treatment,76.38,1200.42,91688,7945579
2moM,E + N treatment,25.34,984.72,24953,2162436
2moM,E + N treatment,59.07,1184.67,69979,6064308
2moM,E + N treatment,20.96,939.4,19686,1705941
2moM,E + N treatment,39.18,1363.03,53399,4627482
2moM,E + N treatment,124.34,1163.16,144624,12532991
2moM,E + N treatment,32.26,1161.1,37462,3246425
2moM,E + N treatment,22.91,999.56,22896,1984120
2moM,E + N treatment,35.82,1460.91,52328,4534669
2moM,E + N treatment,31.73,1455.56,46190,4002791
2moM,E + N treatment,27.63,1442.41,39847,3453126
2moM,E + N treatment,37.3,1571.75,58619,5079898
2moM,E + N treatment,20.34,1690.12,34384,2979687
2moM,E + N treatment,47.55,1632.47,77631,6727402
2moM,E + N treatment,25.23,1489.57,37575,3256204
2moM,E + N treatment,25.88,1558.66,40343,3496079
2moM,E + N treatment,20.75,1687.12,35004,3033437
2moM,E + N treatment,63.18,1533.48,96883,8395825
2moM,E + N treatment,27.55,1934.44,53284,4617512
2moM,E + N treatment,44.2,1677.36,74133,6424279
2moM,E + N treatment,21.6,1635.39,35327,3061445
2moM,E + N treatment,23.43,1590.1,37248,3227905
2moM,E + N treatment,34.55,1657.72,57273,4963220
2moM,E + N treatment,20.29,1566.58,31780,2754040
2moM,E + N treatment,22.54,1351.94,30468,2640338
2moM,E + N treatment,52.48,1636.45,85883,7442580
2moM,E + N treatment,29.45,1765.56,51994,4505714
2moM,E + N treatment,21.07,1468.91,30952,2682236
2moM,E + N treatment,27.68,1235.47,34202,2963896
2moM,E + N treatment,26.55,1416.68,37616,3259783
2moM,E + N treatment,28.46,1458.19,41495,3595898
2moM,E + N treatment,58.92,1296.81,76408,6621484
2moM,E + N treatment,44.22,1408.9,62301,5398916
2moM,E + N treatment,28.38,1476.02,41883,3629544
2moM,E + N treatment,97.94,1542.45,151061,13090801
2moM,E + N treatment,24.03,1432.14,34407,2981720
2moM,E + N treatment,20.55,2410.09,49532,4292362
2moM,E + N treatment,26.05,1426.46,37152,3219523
2moM,E + N treatment,53.66,1600.74,85893,7443445
2moM,E + N treatment,21.78,1256,27349,2370076
2moM,E + N treatment,36.81,1433.26,52759,4572094
2moM,E + N treatment,69.72,1466.7,102260,8861772
2moM,E + N treatment,58.98,1348.26,79518,6890934
2moM,E + N treatment,43.68,1224.86,53498,4636080
2moM,E + N treatment,25.25,1487.73,37563,3255143
2moM,E + N treatment,38.09,1359.93,51802,4489117
2moM,E + N treatment,37.83,1566.15,59242,5133827
2moM,E + N treatment,31.92,1737.94,55472,4807127
2moM,E + N treatment,23.98,1473.89,35342,3062742
2moM,E + N treatment,29.6,1537.17,45498,3942852
2moM,E + N treatment,33.94,1344.49,45629,3954151
2moM,E + N treatment,41.15,1279.51,52652,4562742
2moM,E + N treatment,35.91,1838.5,66022,5721412
2moM,E + N treatment,42.65,2140.69,91300,7911981
2moM,E + N treatment,59.52,1384.03,82378,7138817
2moM,E + N treatment,39.29,1362.22,53524,4638370
2moM,E + N treatment,31.11,1568.86,48808,4229648
2moM,E + N treatment,25.45,1401.77,35667,3090892
2moM,E + N treatment,32.31,1585.52,51229,4439444
2moM,E + N treatment,20.34,1257.53,25583,2217029
2moM,E + N treatment,207.34,1598.9,331518,28729060
2moM,E + N treatment,28.72,1250.35,35912,3112110
2moM,E + N treatment,100.91,1585.48,159995,13865024
2moM,E + N treatment,110.5,1348.17,148975,12910075
2moM,E + N treatment,22.32,1304.18,29106,2522289
2moM,E + N treatment,33.29,1494.89,49767,4312764
2moM,E + N treatment,48.2,1372.1,66135,5731243
2moM,E + N treatment,36.05,1428.92,51511,4463939
2moM,E + N treatment,24.11,1281.41,30890,2676868
2moM,E + N treatment,39.5,1331.71,52602,4558443
2moM,E + N treatment,57.85,1327.7,76804,6655781
2moM,E + N treatment,29.2,1277.02,37282,3230863
2moM,E + N treatment,52.45,1205.87,63244,5480686
2moM,E + N treatment,38.35,1301.99,49926,4326503
2moM,E + N treatment,28.72,1529.4,43927,3806667
2moM,E + N treatment,21.91,1250.52,27403,2374743
2moM,E + N treatment,41.97,1386.38,58185,5042276
2moM,E + N treatment,24.01,1440.02,34580,2996673
2moM,E + N treatment,51.42,1495.73,76910,6664959
2moM,E + N treatment,28.92,1443.91,41755,3618428
2moM,E + N treatment,34.2,1580.42,54055,4684372
2moM,E + N treatment,20.19,1250.2,25247,2187850
2moM,E + N treatment,21.19,1558.02,33009,2860520
2moM,E + N treatment,44.22,1178.95,52132,4517716
2moM,E + N treatment,36.89,1292.24,47673,4131296
2moM,E + N treatment,20.02,1540.01,30833,2671925
2moM,E + N treatment,36.75,1217.87,44761,3878918
2moM,E + N treatment,22.47,1477.59,33198,2876874
2moM,E + N treatment,47.51,1303.57,61930,5366802
2moM,E + N treatment,60.07,1291.95,77613,6725899
2moM,E + N treatment,47.9,1338.63,64121,5556653
2moM,E + N treatment,61.99,5796.98,359355,31141375
2moM,E + N treatment,40.62,1523.38,61878,5362294
2moM,E + N treatment,88.29,1352.98,119452,10351623
2moM,E + N treatment,106.99,1252.71,134032,11615128
2moM,E + N treatment,91.2,1414.84,129028,11181449
2moM,E + N treatment,44.85,1548.32,69448,6018334
2moM,E + N treatment,29.38,1441.17,42341,3669211
2moM,E + N treatment,36.57,1422.85,52031,4509006
2moM,E + N treatment,39.2,1149.44,45057,3904642
2moM,E + N treatment,89.26,1762.28,157297,13631212
2moM,E + N treatment,33.4,1067.82,35660,3090276
2moM,E + N treatment,162.96,1397.58,227751,19736675
2moM,E + N treatment,57.39,1208.31,69340,6008944
2moM,E + N treatment,26.4,1165.71,30777,2667138
2moM,E + N treatment,48.49,1165.35,56507,4896807
2moM,E + N treatment,27.63,1198.82,33118,2869964
2moM,E + N treatment,29.67,1123.46,33331,2888419
2moM,E + N treatment,24.84,1206.92,29985,2598507
2moM,E + N treatment,21.15,1245.95,26354,2283833
2moM,E + N treatment,21.82,1232.53,26895,2330708
2moM,E + N treatment,46.03,1333.58,61386,5319666
2moM,E + N treatment,46.17,1413.46,65259,5655253
2moM,E + N treatment,24.56,1609.04,39512,3424040
2moM,E + N treatment,21.11,1155.96,24397,2114243
2moM,E + N treatment,272.99,1841.07,502592,43554238
2moM,E + N treatment,85.17,1307.73,111383,9652331
2moM,E + N treatment,22.89,1444.36,33068,2865617
2moM,E + N treatment,77.01,1258.46,96919,8398936
2moM,E + N treatment,77.1,1574,121348,10515876
2moM,E + N treatment,20.91,1254.24,26225,2272676
2moM,E + N treatment,21.76,977.76,21279,1844062
2moM,E + N treatment,20.53,1134.61,23292,2018467
2moM,E + N treatment,22.43,1437.15,32239,2793818
2moM,E + N treatment,47,1371.78,64474,5587275
2moM,E + N treatment,41.76,1328.28,55471,4807044
2moM,E + N treatment,28.09,1434.07,40279,3490530
2moM,E + N treatment,220.97,1400.22,309406,26812896
2moM,E + N treatment,51.42,1262.86,64936,5627321
2moM,E + N treatment,61.69,1151.33,71026,6155021
2moM,E + N treatment,30.44,1326.19,40371,3498480
2moM,E + N treatment,25.88,1035.34,26798,2322276
2moM,E + N treatment,21.79,1037.97,22614,1959688
2moM,E + N treatment,51.82,1379.29,71480,6194384
2moM,E + N treatment,38.1,1121.08,42717,3701794
2moM,E + N treatment,25.48,1129.49,28778,2493909
2moM,E + N treatment,21.01,1051.16,22088,1914159
2moM,E + N treatment,23.9,1188.97,28414,2462365
2moM,E + N treatment,34.73,1203.85,41814,3623588
2moM,E + N treatment,29.7,1189.23,35323,3061074
2moM,E + N treatment,24.21,1105.61,26767,2319574
2moM,E + N treatment,29.88,1348.32,40282,3490804
2moM,E + N treatment,27.3,1481.45,40447,3505110
2moM,E + N treatment,30.27,1877.45,56827,4924543
2moM,E + N treatment,29.91,1056.69,31606,2738951
2moM,E + N treatment,70.86,1173.21,83138,7204673
2moM,E + N treatment,29.13,1249.56,36394,3153896
2moM,E + N treatment,31.1,1670.44,51949,4501845
2moM,E + N treatment,21.42,1138.31,24380,2112709
2moM,E + N treatment,23.63,1047.52,24756,2145310
2moM,E + N treatment,241.83,759.91,183771,15925477
2moM,E + N treatment,78.11,649.59,50740,4397053
2moM,E + N treatment,22.58,496.33,11208,971319
2moM,E + N treatment,23.58,603.1,14218,1232141
2moM,E + N treatment,95.48,823.25,78601,6811527
2moM,E + N treatment,110.91,633.9,70303,6092436
2moM,E + N treatment,21.23,665.56,14132,1224629
2moM,E + N treatment,145.12,732.47,106296,9211539
2moM,E + N treatment,108.31,717.05,77663,6730180
2moM,E + N treatment,70.85,640.93,45411,3935310
2moM,E + N treatment,22.66,774.24,17547,1520600
2moM,E + N treatment,34.26,684.42,23449,2032049
2moM,E + N treatment,49.69,592.81,29456,2552627
2moM,E + N treatment,54.7,913.45,49963,4329769
2moM,E + N treatment,32.89,660.17,21711,1881484
2moM,E + N treatment,32.22,652.57,21025,1821978
2moM,E + N treatment,42.37,804.86,34104,2955453
2moM,E + N treatment,58.87,942.41,55484,4808157
2moM,E + N treatment,170.21,887.29,151023,13087551
2moM,E + N treatment,67.96,677.37,46031,3989041
2moM,E + N treatment,35.17,626.25,22027,1908815
2moM,E + N treatment,27.12,787.17,21346,1849853
2moM,E + N treatment,222.32,746.35,165929,14379227
2moM,E + N treatment,130.62,909.65,118814,10296308
2moM,E + N treatment,32.67,663.42,21673,1878128
2moM,E + N treatment,45.95,723.9,33263,2882556
2moM,E + N treatment,25.16,571.27,14371,1245364
2moM,E + N treatment,26.67,597.4,15931,1380587
2moM,E + N treatment,36.15,576.77,20852,1807022
2moM,E + N treatment,28.46,607.17,17278,1497279
2moM,E + N treatment,63.98,768.14,49142,4258573
2moM,E + N treatment,76.22,710.54,54156,4693089
2moM,E + N treatment,53.75,740.66,39811,3449989
2moM,E + N treatment,151.81,637.1,96721,8381742
2moM,E + N treatment,27.85,540.97,15063,1305352
2moM,E + N treatment,26.03,805.2,20962,1816531
2moM,E + N treatment,169.23,769.3,130185,11281747
2moM,E + N treatment,40.08,651.15,26096,2261436
2moM,E + N treatment,50.02,703.49,35191,3049616
2moM,E + N treatment,20.44,611.22,12491,1082476
2moM,E + N treatment,126.88,750.83,95262,8255341
2moM,E + N treatment,20.17,540.19,10896,944247
2moM,E + N treatment,214.6,695.93,149347,12942254
2moM,E + N treatment,59.97,972.22,58304,5052614
2moM,E + N treatment,21.84,548.52,11982,1038344
2moM,E + N treatment,36.77,641.73,23593,2044544
2moM,E + N treatment,90.92,586.24,53300,4618972
2moM,E + N treatment,88.94,995.06,88495,7668935
2moM,E + N treatment,93.62,635.71,59515,5157514
2moM,E + N treatment,97.53,813.98,79388,6879732
2moM,E + N treatment,39.89,708.37,28258,2448828
2moM,E + N treatment,76.85,891.12,68485,5934853
2moM,E + N treatment,100.53,722.91,72675,6297951
2moM,E + N treatment,20.47,620.27,12697,1100353
2moM,E + N treatment,29.7,581.44,17270,1496619
2moM,E + N treatment,38.99,591.48,23063,1998610
2moM,E + N treatment,240.37,754.32,181314,15712507
2moM,E + N treatment,90.65,677.35,61404,5321258
2moM,E + N treatment,35.78,540.37,19337,1675696
2moM,E + N treatment,56.47,737.61,41656,3609855
2moM,E + N treatment,20.76,555.58,11533,999483
2moM,E + N treatment,29.95,522.83,15656,1356734
2moM,E + N treatment,117.13,722.64,84640,7334794
2moM,E + N treatment,39.19,738.9,28956,2509291
2moM,E + N treatment,64.74,611.26,39570,3429144
2moM,E + N treatment,69.59,727.82,50652,4389498
2moM,E + N treatment,237.74,749.29,178133,15436900
2moM,E + N treatment,51.05,604.79,30875,2675582
2moM,E + N treatment,34.43,1096.93,37771,3273236
2moM,E + N treatment,93.14,733.81,68343,5922559
2moM,E + N treatment,104.16,717.08,74687,6472334
2moM,E + N treatment,116.36,758.88,88307,7652585
2moM,E + N treatment,25.19,576.06,14511,1257545
2moM,E + N treatment,33.73,770.01,25972,2250734
2moM,E + N treatment,201.35,815.25,164151,14225224
2moM,E + N treatment,28.35,542.24,15374,1332290
2moM,E + N treatment,29.39,769,22602,1958631
2moM,E + N treatment,22.38,560.3,12537,1086415
2moM,E + N treatment,225.44,804.07,181264,15708223
2moM,E + N treatment,45.79,837.05,38327,3321411
2moM,E + N treatment,48.93,594.1,29068,2518986
2moM,E + N treatment,27.87,512.46,14281,1237586
2moM,E + N treatment,31.1,591.91,18408,1595183
2moM,E + N treatment,231.75,2315.62,536637,46504506
2moM,E + N treatment,28.55,487.62,13921,1206374
2moM,E + N treatment,27.66,522.18,14444,1251676
2moM,E + N treatment,40.31,870.35,35082,3040134
2moM,E + N treatment,20.52,440.42,9036,783070
2moM,E + N treatment,105.79,709.28,75037,6502687
2moM,E + N treatment,51.79,624.6,32347,2803201
2moM,E + N treatment,87.9,485.94,42712,3701378
2moM,E + N treatment,154.34,1246.96,192455,16678032
2moM,E + N treatment,57.12,557.14,31824,2757843
2moM,E + N treatment,60.95,489.36,29827,2584811
2moM,E + N treatment,77.67,707.5,54953,4762197
2moM,E + N treatment,49.18,726.55,35733,3096553
2moM,E + N treatment,55.46,624.11,34613,2999493
2moM,E + N treatment,39.17,614.71,24075,2086329
2moM,E + N treatment,21.3,720.22,15342,1329525
3moF,E + N treatment,222.91,339.78,75740,6563585
3moF,E + N treatment,1474.36,184.22,271608,23537335
3moF,E + N treatment,764.72,205.47,157127,13616518
3moF,E + N treatment,44.24,105.61,4673,404923
3moF,E + N treatment,519.23,253.2,131468,11392887
3moF,E + N treatment,88.96,126.56,11258,975627
3moF,E + N treatment,35.47,115.23,4087,354218
3moF,E + N treatment,23.41,466.23,10916,945972
3moF,E + N treatment,22.87,100.22,2292,198638
3moF,E + N treatment,22.66,194.76,4414,382514
3moF,E + N treatment,43.49,128.59,5593,484660
3moF,E + N treatment,720.47,236.09,170094,14740246
3moF,E + N treatment,70.29,100.41,7058,611605
3moF,E + N treatment,20.39,101.07,2061,178595
3moF,E + N treatment,36.41,122.76,4469,387306
3moF,E + N treatment,31.34,139.01,4357,377559
3moF,E + N treatment,26.59,194.81,5179,448830
3moF,E + N treatment,20.92,115.64,2419,209659
3moF,E + N treatment,36.52,129.74,4738,410629
3moF,E + N treatment,21.07,117.59,2478,214714
3moF,E + N treatment,31.91,111.8,3567,309138
3moF,E + N treatment,736.82,179.13,131983,11437534
3moF,E + N treatment,490.01,195.5,95797,8301712
3moF,E + N treatment,61.3,210.75,12918,1119494
3moF,E + N treatment,386.26,205.49,79374,6878468
3moF,E + N treatment,131.95,161.03,21249,1841388
3moF,E + N treatment,25.04,107.07,2681,232332
3moF,E + N treatment,23.49,113.31,2662,230693
3moF,E + N treatment,20.06,104.7,2100,181966
3moF,E + N treatment,329.69,189.71,62546,5420187
3moF,E + N treatment,89.4,191.96,17161,1487118
3moF,E + N treatment,48.73,239.81,11686,1012725
3moF,E + N treatment,36.74,244.2,8972,777536
3moF,E + N treatment,139.11,269.02,37422,3242975
3moF,E + N treatment,23.11,142.02,3283,284464
3moF,E + N treatment,100.37,163.6,16420,1422979
3moF,E + N treatment,80.21,156.49,12552,1087777
3moF,E + N treatment,21.79,145.98,3180,275610
3moF,E + N treatment,49.8,112.91,5623,487310
3moF,E + N treatment,23.28,118,2746,237998
3moF,E + N treatment,63.71,441.57,28132,2437884
3moF,E + N treatment,81.94,297.06,24341,2109409
3moF,E + N treatment,30.89,245.26,7576,656564
3moF,E + N treatment,101.26,348.94,35333,3061934
3moF,E + N treatment,132.54,320.23,42444,3678119
3moF,E + N treatment,125.19,496.32,62135,5384590
3moF,E + N treatment,53.16,649.96,34553,2994372
3moF,E + N treatment,37.77,990.34,37404,3241367
3moF,E + N treatment,66.39,302.64,20091,1741074
3moF,E + N treatment,88.5,415.93,36808,3189765
3moF,E + N treatment,88.39,311.95,27574,2389541
3moF,E + N treatment,87.82,549.24,48231,4179694
3moF,E + N treatment,21.09,311.98,6581,570299
3moF,E + N treatment,353.89,495.3,175283,15189907
3moF,E + N treatment,29.5,367.94,10852,940453
3moF,E + N treatment,45.17,351.39,15871,1375357
3moF,E + N treatment,20.1,404.2,8125,704108
3moF,E + N treatment,27.42,303.36,8317,720781
3moF,E + N treatment,34.63,325.53,11273,976916
3moF,E + N treatment,52.04,521.49,27140,2351928
3moF,E + N treatment,21.67,242.45,5254,455322
3moF,E + N treatment,20.16,304.79,6144,532474
3moF,E + N treatment,31.53,258.82,8159,707095
3moF,E + N treatment,157.99,380.24,60073,5205855
3moF,E + N treatment,29.08,505.76,14707,1274524
3moF,E + N treatment,488.5,646.1,315620,27351375
3moF,E + N treatment,82.33,367.87,30288,2624736
3moF,E + N treatment,32.24,339.96,10961,949848
3moF,E + N treatment,39.64,256.81,10180,882148
3moF,E + N treatment,39.66,359.78,14269,1236571
3moF,E + N treatment,57.24,492.79,28205,2444232
3moF,E + N treatment,203.21,605.91,123126,10670038
3moF,E + N treatment,29.13,367.6,10707,927820
3moF,E + N treatment,47.01,1595.67,75015,6500774
3moF,E + N treatment,118.38,278.45,32964,2856640
3moF,E + N treatment,38.42,295.49,11351,983676
3moF,E + N treatment,32.8,430.26,14110,1222800
3moF,E + N treatment,30.81,432.45,13324,1154636
3moF,E + N treatment,27.14,782.34,21233,1840067
3moF,E + N treatment,20.74,918.83,19053,1651142
3moF,E + N treatment,1542.24,1240.58,1913271,165802458
3moF,E + N treatment,38.73,860.74,33333,2888653
3moF,E + N treatment,32.56,9205.83,299782,25978838
3moF,E + N treatment,33.11,706.7,23397,2027529
3moF,E + N treatment,23.31,1087.52,25350,2196783
3moF,E + N treatment,34.68,861.51,29874,2588822
3moF,E + N treatment,24.34,774.7,18854,1633841
3moF,E + N treatment,43.82,836.28,36642,3175362
3moF,E + N treatment,38.83,993.07,38561,3341675
3moF,E + N treatment,69.02,817.12,56396,4887201
3moF,E + N treatment,48.03,780.54,37487,3248618
3moF,E + N treatment,32.46,937.2,30422,2636332
3moF,E + N treatment,30.56,908.76,27768,2406390
3moF,E + N treatment,129.74,887.73,115173,9980775
3moF,E + N treatment,32.62,1346.95,43940,3807816
3moF,E + N treatment,45.8,953.52,43671,3784506
3moF,E + N treatment,259.48,924.29,239832,20783663
3moF,E + N treatment,88.15,1172.63,103367,8957720
3moF,E + N treatment,59.5,945.39,56248,4874420
3moF,E + N treatment,20.06,831.2,16670,1444629
3moF,E + N treatment,179.84,1693.78,304614,26397614
3moF,E + N treatment,23.38,10498.52,245444,21269998
3moF,E + N treatment,20.76,1039.65,21582,1870321
3moF,E + N treatment,105.41,2534.92,267213,23156449
3moF,E + N treatment,26.55,7407.91,196697,17045590
3moF,E + N treatment,23.61,11498.65,271480,23526244
3moF,E + N treatment,20.53,774.61,15902,1378022
3moF,E + N treatment,67.44,570.45,38469,3333712
3moF,E + N treatment,20.55,442.34,9091,787798
3moF,E + N treatment,28.57,624.53,17844,1546334
3moF,E + N treatment,29.96,459.78,13773,1193584
3moF,E + N treatment,40.68,327.67,13328,1155028
3moF,E + N treatment,31.95,468.62,14974,1297604
3moF,E + N treatment,41.1,359.28,14768,1279762
3moF,E + N treatment,45.25,374.72,16955,1469275
3moF,E + N treatment,23,378.61,8707,754567
3moF,E + N treatment,25.68,488.25,12536,1086366
3moF,E + N treatment,32.46,452.75,14696,1273585
3moF,E + N treatment,33.83,472.65,15991,1385796
3moF,E + N treatment,114.84,407.31,46776,4053541
3moF,E + N treatment,28.26,347.23,9813,850354
3moF,E + N treatment,44,519.18,22844,1979635
3moF,E + N treatment,44.44,472.22,20985,1818513
3moF,E + N treatment,34.39,341.88,11757,1018810
3moF,E + N treatment,143.31,524.94,75229,6519277
3moF,E + N treatment,128.53,885.95,113868,9867741
3moF,E + N treatment,65.58,742.93,48720,4222047
3moF,E + N treatment,39.08,591.62,23123,2003813
3moF,E + N treatment,51.56,655.67,33805,2929531
3moF,E + N treatment,104.88,414.01,43423,3762960
3moF,E + N treatment,40.03,485.13,19420,1682916
3moF,E + N treatment,35.4,355.69,12592,1091253
3moF,E + N treatment,50.65,384.63,19480,1688118
3moF,E + N treatment,740.06,681.03,504006,43676704
3moF,E + N treatment,63.21,448.23,28334,2455386
3moF,E + N treatment,27.03,531.92,14375,1245760
3moF,E + N treatment,61.36,453.72,27838,2412448
3moF,E + N treatment,26.68,625.3,16683,1445696
3moF,E + N treatment,39.28,392.78,15428,1337013
3moF,E + N treatment,133.43,447.39,59695,5173159
3moF,E + N treatment,92.49,441.49,40833,3538570
3moF,E + N treatment,39.34,554.35,21807,1889763
3moF,E + N treatment,33.25,477.37,15870,1375313
3moF,E + N treatment,25.42,363.79,9248,801432
3moF,E + N treatment,60.63,431.45,26158,2266840
3moF,E + N treatment,53.94,541.57,29210,2531295
3moF,E + N treatment,190.02,662.84,125953,10914983
3moF,E + N treatment,82.37,588.14,48444,4198157
3moF,E + N treatment,28.21,501.89,14160,1227132
3moF,E + N treatment,33.63,544.14,18297,1585619
3moF,E + N treatment,98.56,464.1,45741,3963907
3moF,E + N treatment,29.66,518.62,15380,1332845
3moF,E + N treatment,20.66,395.34,8166,707653
3moF,E + N treatment,21.84,425.44,9293,805361
3moF,E + N treatment,47.25,495.34,23407,2028418
3moF,E + N treatment,41.5,603.02,25023,2168446
3moF,E + N treatment,115.42,549.45,63416,5495545
3moF,E + N treatment,22.47,394.45,8862,768001
3moF,E + N treatment,55.36,446.06,24691,2139737
3moF,E + N treatment,34.54,529.54,18289,1584918
3moF,E + N treatment,133.48,470.99,62866,5447946
3moF,E + N treatment,33.42,569.66,19037,1649742
3moF,E + N treatment,27.63,458.95,12679,1098722
3moF,E + N treatment,32.5,481.31,15640,1355375
3moF,E + N treatment,26.93,429.11,11557,1001548
3moF,E + N treatment,130.2,509.19,66296,5745168
3moF,E + N treatment,20.83,367.9,7663,664054
3moF,E + N treatment,38.22,2624.21,100294,8691392
3moF,E + N treatment,41.85,362.29,15163,1314030
11moM,E + N treatment,183.66,490.05,90004,7799638
11moM,E + N treatment,24.06,440.23,10592,917877
11moM,E + N treatment,1943.41,914.12,1776508,153950758
11moM,E + N treatment,34.06,542.98,18496,1602864
11moM,E + N treatment,30.75,500.04,15378,1332612
11moM,E + N treatment,58.45,590.95,34540,2993171
11moM,E + N treatment,50.76,904.16,45897,3977406
11moM,E + N treatment,23.99,417.65,10020,868297
11moM,E + N treatment,20.25,552.84,11196,970232
11moM,E + N treatment,26.29,591.52,15549,1347484
11moM,E + N treatment,28.48,477.43,13597,1178303
11moM,E + N treatment,27.63,861.23,23792,2061772
11moM,E + N treatment,34.57,506.25,17502,1516709
11moM,E + N treatment,26.05,460.07,11982,1038373
11moM,E + N treatment,347.32,776.42,269662,23368685
11moM,E + N treatment,29.6,723.62,21418,1856078
11moM,E + N treatment,22.98,908.06,20863,1807939
11moM,E + N treatment,28.95,758.13,21950,1902158
11moM,E + N treatment,62.36,449.39,28024,2428520
11moM,E + N treatment,46.11,471.92,21761,1885777
11moM,E + N treatment,29.58,460.84,13629,1181120
11moM,E + N treatment,24.5,426.22,10442,904869
11moM,E + N treatment,130.82,500.46,65472,5673713
11moM,E + N treatment,29.48,539.17,15897,1377590
11moM,E + N treatment,24.08,484.12,11659,1010347
11moM,E + N treatment,41.72,546.47,22796,1975476
11moM,E + N treatment,117.74,626.52,73764,6392358
11moM,E + N treatment,49.39,576.01,28449,2465339
11moM,E + N treatment,30.4,4406.61,133939,11607014
11moM,E + N treatment,31.71,528.15,16748,1451364
11moM,E + N treatment,20.32,434.4,8827,764983
11moM,E + N treatment,111.99,599.47,67134,5817806
11moM,E + N treatment,30.52,503.77,15376,1332479
11moM,E + N treatment,47.12,456.89,21527,1865496
11moM,E + N treatment,39.35,525.8,20690,1792960
11moM,E + N treatment,156.22,643.41,100514,8710453
11moM,E + N treatment,40.97,1528.98,62635,5427887
11moM,E + N treatment,27.19,419.5,11405,988349
11moM,E + N treatment,42.96,528.72,22714,1968416
11moM,E + N treatment,180.24,521.71,94030,8148577
11moM,E + N treatment,27.93,528.33,14754,1278566
11moM,E + N treatment,21.87,428.11,9362,811267
11moM,E + N treatment,35.08,503.58,17665,1530875
11moM,E + N treatment,26.83,455.94,12232,1060052
11moM,E + N treatment,57.01,6533.24,372427,32274203
11moM,E + N treatment,31.98,475.88,15217,1318656
11moM,E + N treatment,40.71,390.22,15886,1376690
11moM,E + N treatment,22.49,645.7,14522,1258474
11moM,E + N treatment,147.8,535.42,79134,6857706
11moM,E + N treatment,25.47,432.78,11022,955147
11moM,E + N treatment,29.06,347.56,10099,875144
11moM,E + N treatment,48.33,478.49,23124,2003906
11moM,E + N treatment,36.33,450.29,16357,1417518
11moM,E + N treatment,20.74,355.9,7380,639555
11moM,E + N treatment,9273.77,656.23,6085695,527381323
11moM,E + N treatment,42.05,448.25,18849,1633416
11moM,E + N treatment,24.78,635.55,15746,1364534
11moM,E + N treatment,23.64,724.21,17123,1483908
11moM,E + N treatment,22.2,344.71,7653,663220
11moM,E + N treatment,23.48,531.48,12481,1081554
11moM,E + N treatment,100.19,458.88,45974,3984034
11moM,E + N treatment,33.79,593.5,20053,1737753
11moM,E + N treatment,46.04,410.37,18895,1637393
11moM,E + N treatment,39.26,517.35,20310,1760035
11moM,E + N treatment,52.72,405.85,21398,1854326
11moM,E + N treatment,28.36,581.95,16506,1430423
11moM,E + N treatment,51.14,463.4,23700,2053800
11moM,E + N treatment,21.81,412.71,9001,780025
11moM,E + N treatment,48.54,535.52,25991,2252385
11moM,E + N treatment,21.72,627.74,13633,1181397
11moM,E + N treatment,297.05,588.73,174880,15154981
11moM,E + N treatment,52.44,582.51,30544,2646924
11moM,E + N treatment,29.75,466.89,13889,1203648
11moM,E + N treatment,31.47,499.49,15718,1362112
11moM,E + N treatment,81.15,511.55,41510,3597200
11moM,E + N treatment,89.77,512.22,45980,3984571
11moM,E + N treatment,81.37,550.55,44795,3881919
11moM,E + N treatment,28.79,291.69,8398,727763
11moM,E + N treatment,37.09,489.23,18144,1572379
11moM,E + N treatment,67.74,501.79,33990,2945533
11moM,E + N treatment,41.89,569.53,23857,2067399
11moM,E + N treatment,64.06,503.43,32247,2794510
11moM,E + N treatment,25.24,600.86,15164,1314078
11moM,E + N treatment,253.2,464.01,117486,10181276
11moM,E + N treatment,82.99,383.87,31858,2760761
11moM,E + N treatment,23.02,449.79,10355,897325
