Age Group,Treatment,Area,Mean,IntDen,RawIntDen
24moF,N treatment,31.58,295.17,9322,807877
24moF,N treatment,1010.93,570.29,576520,49960730
24moF,N treatment,22.74,306.51,6971,604136
24moF,N treatment,91.75,323.53,29684,2572405
24moF,N treatment,99.84,331.05,33052,2864244
24moF,N treatment,4889.87,563.52,2755549,238793615
24moF,N treatment,55.02,726.11,39951,3462078
24moF,N treatment,26.85,370.82,9957,862894
24moF,N treatment,344.22,285.43,98250,8514255
24moF,N treatment,20.88,329.73,6883,596475
24moF,N treatment,64.78,378.62,24528,2125597
24moF,N treatment,129.73,515.15,66829,5791352
24moF,N treatment,52.55,394.04,20707,1794445
24moF,N treatment,321.13,575.29,184742,16009626
24moF,N treatment,240.62,529.4,127384,11038987
24moF,N treatment,76.71,526,40352,3496862
24moF,N treatment,27.76,419.29,11641,1008815
24moF,N treatment,99.1,296.69,29402,2547935
24moF,N treatment,61.93,278.96,17277,1497179
24moF,N treatment,26.36,366.77,9667,837700
24moF,N treatment,23.41,432.02,10115,876563
24moF,N treatment,31.62,269.5,8521,738415
24moF,N treatment,233.97,500.14,117020,10140893
24moF,N treatment,134.92,982.67,132582,11489411
24moF,N treatment,29.55,1091.66,32261,2795738
24moF,N treatment,148.36,1203.29,178523,15470651
24moF,N treatment,4766.74,1145.42,5459910,473151305
24moF,N treatment,51.62,971.08,50123,4343645
24moF,N treatment,64.86,728.08,47226,4092549
24moF,N treatment,92.92,769.9,71536,6199232
24moF,N treatment,26.53,1021.25,27093,2347843
24moF,N treatment,42.65,1019.17,43468,3766860
24moF,N treatment,48.81,859.68,41963,3636440
24moF,N treatment,27.18,1366.03,37123,3217011
24moF,N treatment,103.11,673.92,69484,6021446
24moF,N treatment,23.18,813.11,18850,1633528
24moF,N treatment,20.6,645.49,13296,1152205
24moF,N treatment,106.63,1188.96,126772,10985957
24moF,N treatment,994.6,1086.4,1080526,93637508
24moF,N treatment,31.28,534.62,16725,1449364
24moF,N treatment,23.31,1048.69,24445,2118347
24moF,N treatment,87.41,871.74,76200,6603459
24moF,N treatment,43.77,932.56,40817,3537205
24moF,N treatment,22.98,601.5,13820,1197595
24moF,N treatment,267.24,1175.89,314248,27232432
24moF,N treatment,162.28,672.07,109064,9451365
24moF,N treatment,26.48,969.61,25678,2225253
24moF,N treatment,29.11,858.43,24992,2165818
24moF,N treatment,20.47,675.62,13831,1198553
24moF,N treatment,127.11,882.79,112209,9723943
24moF,N treatment,74.03,1074.13,79513,6890517
24moF,N treatment,96.72,1119.44,108276,9383130
24moF,N treatment,109.86,1133.83,124557,10794045
24moF,N treatment,24.57,627.56,15418,1336083
24moF,N treatment,316.53,799.57,253084,21932069
24moF,N treatment,31.26,796.76,24907,2158424
24moF,N treatment,230.87,687.21,158655,13748919
24moF,N treatment,86.27,869.63,75022,6501317
24moF,N treatment,56.67,941.72,53367,4624770
24moF,N treatment,41.27,1153.68,47607,4125553
24moF,N treatment,22.32,710.18,15849,1373484
24moF,N treatment,49.57,1016.47,50390,4366752
24moF,N treatment,21.26,1226.8,26077,2259768
24moF,N treatment,38.07,1086.47,41361,3584275
24moF,N treatment,32.62,852.79,27820,2410835
24moF,N treatment,31.58,1078.93,34076,2953037
24moF,N treatment,50.06,870.54,43578,3776397
24moF,N treatment,48.19,895.95,43175,3741484
24moF,N treatment,60.96,815.86,49737,4310179
24moF,N treatment,45.4,621.76,28226,2446004
24moF,N treatment,44.73,441.6,19751,1711645
24moF,N treatment,39.6,484.48,19187,1662727
24moF,N treatment,126.29,765.31,96649,8375494
24moF,N treatment,246.68,666.58,164431,14249433
24moF,N treatment,497.11,717.36,356606,30903205
24moF,N treatment,87.65,953.66,83592,7243973
24moF,N treatment,82.16,571.24,46933,4067203
24moF,N treatment,32.01,475.63,15225,1319385
24moF,N treatment,98.27,560.01,55032,4769066
24moF,N treatment,556.76,1156.6,643945,55803757
24moF,N treatment,79.98,572.07,45754,3965027
24moF,N treatment,316.93,793.64,251528,21797200
24moF,N treatment,181.84,734.74,133603,11577951
24moF,N treatment,184.93,961.71,177851,15412397
24moF,N treatment,75.36,855.11,64445,5584749
24moF,N treatment,576.58,890.08,513203,44473725
24moF,N treatment,98.24,666.91,65514,5677373
24moF,N treatment,27.55,422.39,11635,1008248
24moF,N treatment,26.11,472.3,12334,1068820
24moF,N treatment,65.71,692.04,45471,3940488
24moF,N treatment,20.25,591.93,11988,1038840
24moF,N treatment,146.01,897.33,131019,11353967
24moF,N treatment,132.74,795.58,105604,9151536
24moF,N treatment,241.87,612.03,148030,12828129
24moF,N treatment,108.74,832.52,90525,7844859
24moF,N treatment,69.29,559.63,38779,3360569
24moF,N treatment,214.62,657.68,141153,12232193
24moF,N treatment,190.92,884.73,168913,14637836
24moF,N treatment,397.35,946.36,376034,32586819
24moF,N treatment,332.95,801.25,266774,23118446
24moF,N treatment,326.71,757.77,247569,21454087
24moF,N treatment,31.66,542.18,17168,1487754
24moF,N treatment,220.37,936.81,206444,17890273
24moF,N treatment,124.6,539.14,67179,5821651
24moF,N treatment,128.13,749.88,96085,8326659
24moF,N treatment,283.72,593.57,168408,14594130
24moF,N treatment,96.34,610.51,58818,5097159
24moF,N treatment,80.43,690.3,55521,4811373
24moF,N treatment,124.59,735.07,91584,7936592
24moF,N treatment,194.16,841.69,163424,14162227
24moF,N treatment,31.15,459.94,14325,1241371
24moF,N treatment,96.07,679.16,65244,5654023
24moF,N treatment,26.05,333.32,8681,752299
24moF,N treatment,105.38,535.88,56471,4893687
24moF,N treatment,48.21,475.81,22940,1987943
24moF,N treatment,72.06,622.39,44852,3886842
24moF,N treatment,117.71,720.41,84802,7348872
24moF,N treatment,83.86,546.07,45792,3968276
24moF,N treatment,80.17,480.43,38514,3337549
24moF,N treatment,83.28,620.19,51650,4475914
